,index,2012-01-09 00:00:00,2012-01-16 00:00:00,2012-01-23 00:00:00,2012-01-30 00:00:00,2012-02-06 00:00:00,2012-02-13 00:00:00,2012-02-20 00:00:00,2012-02-27 00:00:00,2012-03-05 00:00:00,2012-03-12 00:00:00,2012-03-19 00:00:00,2012-03-26 00:00:00,2012-04-02 00:00:00,2012-04-09 00:00:00,2012-04-16 00:00:00,2012-04-23 00:00:00,2012-04-30 00:00:00,2012-05-07 00:00:00,2012-05-14 00:00:00,2012-05-21 00:00:00,2012-05-28 00:00:00,2012-06-04 00:00:00,2012-06-11 00:00:00,2012-06-18 00:00:00,2012-06-25 00:00:00,2012-07-02 00:00:00,2012-07-09 00:00:00,2012-07-16 00:00:00,2012-07-23 00:00:00,2012-07-30 00:00:00,2012-08-06 00:00:00,2012-08-13 00:00:00,2012-08-20 00:00:00,2012-08-27 00:00:00,2012-09-03 00:00:00,2012-09-10 00:00:00,2012-09-17 00:00:00,2012-09-24 00:00:00,2012-10-01 00:00:00,2012-10-08 00:00:00,2012-10-15 00:00:00,2012-10-22 00:00:00,2012-10-29 00:00:00,2012-11-05 00:00:00,2012-11-12 00:00:00,2012-11-19 00:00:00,2012-11-26 00:00:00,2012-12-03 00:00:00,2012-12-10 00:00:00,2012-12-17 00:00:00,2012-12-24 00:00:00,2012-12-31 00:00:00,yield
0,0,0.211,0.211,0.211,0.211,0.211,0.211,0.211,0.211,0.211,0.211,0.211,0.199,0.21650000000000003,0.234,0.298,0.364,0.444,0.521,0.546,0.559,0.555,0.585,0.573,0.516,0.523,0.527,0.546,0.622,0.647,0.652,0.58,0.551,0.5445,0.538,0.451,0.445,0.392,0.4,0.376,0.365,0.352,0.354,0.341,0.347,0.353,0.3665,0.38,0.382,0.382,0.382,0.382,0.382,2.7
1,4,0.266,0.266,0.266,0.266,0.266,0.266,0.266,0.266,0.266,0.266,0.266,0.273,0.28400000000000003,0.295,0.328,0.453,0.529,0.645,0.719,0.733,0.754,0.773,0.756,0.73,0.715,0.694,0.666,0.724,0.747,0.741,0.714,0.666,0.64,0.614,0.604,0.581,0.566,0.514,0.486,0.471,0.484,0.476,0.451,0.418,0.394,0.3815,0.369,0.37,0.3545,0.33899999999999997,0.3235,0.308,0.75
2,5,0.219,0.219,0.219,0.219,0.219,0.219,0.219,0.219,0.219,0.219,0.219,0.254,0.2565,0.259,0.316,0.394,0.459,0.533,0.589,0.594,0.608,0.642,0.637,0.611,0.591,0.589,0.597,0.628,0.611,0.645,0.622,0.573,0.548,0.523,0.484,0.424,0.398,0.398,0.383,0.385,0.38,0.368,0.366,0.384,0.382,0.3755,0.369,0.368,0.368,0.368,0.368,0.368,0.88
3,6,0.234,0.234,0.234,0.234,0.234,0.234,0.234,0.234,0.234,0.234,0.234,0.262,0.273,0.284,0.325,0.398,0.48,0.543,0.597,0.596,0.601,0.641,0.638,0.636,0.601,0.613,0.601,0.653,0.667,0.671,0.645,0.605,0.5585,0.512,0.488,0.454,0.43,0.41,0.379,0.382,0.408,0.416,0.405,0.417,0.416,0.41000000000000003,0.404,0.386,0.386,0.386,0.386,0.386,1.69
4,11,0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.194,0.196,0.198,0.212,0.289,0.359,0.442,0.466,0.457,0.464,0.532,0.534,0.515,0.502,0.502,0.526,0.573,0.64,0.631,0.58,0.554,0.5015000000000001,0.449,0.44,0.389,0.331,0.293,0.256,0.255,0.268,0.263,0.28,0.30100000000000005,0.322,0.356,0.39,0.406,0.406,0.406,0.406,0.406,2.83
5,12,0.209,0.209,0.209,0.209,0.209,0.209,0.209,0.209,0.209,0.209,0.209,0.214,0.2235,0.233,0.286,0.364,0.445,0.57,0.602,0.593,0.611,0.632,0.566,0.461,0.43,0.426,0.424,0.417,0.483,0.507,0.494,0.443,0.402,0.361,0.357,0.356,0.323,0.289,0.28,0.283,0.281,0.282,0.315,0.43,0.46,0.47550000000000003,0.491,0.449,0.4355,0.42200000000000004,0.40850000000000003,0.395,0.65
6,30,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.194,0.20800000000000002,0.222,0.257,0.274,0.302,0.353,0.375,0.372,0.359,0.405,0.392,0.389,0.447,0.526,0.683,0.717,0.758,0.743,0.677,0.607,0.55,0.493,0.372,0.365,0.332,0.324,0.33,0.266,0.27,0.268,0.272,0.291,0.312,0.309,0.306,0.303,0.29774999999999996,0.2925,0.28725,0.282,1.77
7,35,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.192,0.20650000000000002,0.221,0.237,0.311,0.34,0.386,0.443,0.438,0.366,0.404,0.374,0.31,0.353,0.409,0.446,0.683,0.69,0.701,0.662,0.63,0.632,0.634,0.547,0.501,0.372,0.345,0.336,0.296,0.296,0.277,0.279,0.286,0.286,0.286,0.286,0.287,0.28225,0.27749999999999997,0.27275,0.268,3.01
8,37,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.226,0.237,0.248,0.279,0.299,0.405,0.48,0.516,0.503,0.461,0.454,0.437,0.395,0.41,0.481,0.539,0.704,0.729,0.746,0.688,0.647,0.623,0.599,0.498,0.445,0.373,0.357,0.337,0.289,0.282,0.282,0.276,0.275,0.274,0.27,0.266,0.274,0.2705,0.267,0.2635,0.26,1.89
9,54,0.218,0.218,0.218,0.218,0.218,0.218,0.218,0.218,0.218,0.218,0.218,0.242,0.2445,0.247,0.268,0.335,0.397,0.432,0.432,0.453,0.452,0.477,0.483,0.46,0.492,0.543,0.533,0.706,0.777,0.794,0.75,0.737,0.6935,0.65,0.499,0.478,0.378,0.376,0.389,0.329,0.308,0.295,0.297,0.337,0.324,0.3195,0.315,0.316,0.30425,0.2925,0.28075,0.269,2.68
10,55,0.201,0.201,0.201,0.201,0.201,0.201,0.201,0.201,0.201,0.201,0.201,0.22,0.227,0.234,0.284,0.295,0.321,0.396,0.422,0.459,0.436,0.327,0.336,0.337,0.375,0.428,0.472,0.687,0.751,0.787,0.772,0.735,0.716,0.697,0.581,0.517,0.387,0.367,0.335,0.285,0.285,0.275,0.276,0.287,0.271,0.2675,0.264,0.256,0.24725,0.2385,0.22975,0.221,2.8
11,71,0.221,0.221,0.221,0.221,0.221,0.221,0.221,0.221,0.221,0.221,0.221,0.205,0.2105,0.216,0.245,0.308,0.348,0.389,0.473,0.502,0.549,0.561,0.56,0.536,0.513,0.472,0.445,0.534,0.653,0.682,0.64,0.563,0.5249999999999999,0.487,0.418,0.387,0.361,0.341,0.306,0.27,0.283,0.27,0.272,0.278,0.28,0.277,0.274,0.268,0.2625,0.257,0.2515,0.246,0.78
12,72,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.185,0.193,0.201,0.262,0.268,0.299,0.357,0.344,0.371,0.405,0.44,0.439,0.471,0.505,0.551,0.588,0.704,0.734,0.737,0.643,0.623,0.5775,0.532,0.485,0.458,0.424,0.383,0.345,0.284,0.279,0.275,0.281,0.299,0.28,0.28200000000000003,0.284,0.288,0.27699999999999997,0.266,0.255,0.244,1.86
13,95,0.234,0.234,0.234,0.234,0.234,0.234,0.234,0.234,0.234,0.234,0.234,0.231,0.236,0.241,0.272,0.289,0.328,0.378,0.37,0.36,0.346,0.394,0.396,0.403,0.448,0.561,0.6,0.726,0.727,0.737,0.686,0.65,0.5760000000000001,0.502,0.425,0.418,0.403,0.366,0.342,0.286,0.283,0.29,0.316,0.454,0.454,0.454,0.454,0.466,0.464,0.462,0.46,0.458,1.76
