,index,2014-01-06 00:00:00,2014-01-13 00:00:00,2014-01-20 00:00:00,2014-01-27 00:00:00,2014-02-03 00:00:00,2014-02-10 00:00:00,2014-02-17 00:00:00,2014-02-24 00:00:00,2014-03-03 00:00:00,2014-03-10 00:00:00,2014-03-17 00:00:00,2014-03-24 00:00:00,2014-03-31 00:00:00,2014-04-07 00:00:00,2014-04-14 00:00:00,2014-04-21 00:00:00,2014-04-28 00:00:00,2014-05-05 00:00:00,2014-05-12 00:00:00,2014-05-19 00:00:00,2014-05-26 00:00:00,2014-06-02 00:00:00,2014-06-09 00:00:00,2014-06-16 00:00:00,2014-06-23 00:00:00,2014-06-30 00:00:00,2014-07-07 00:00:00,2014-07-14 00:00:00,2014-07-21 00:00:00,2014-07-28 00:00:00,2014-08-04 00:00:00,2014-08-11 00:00:00,2014-08-18 00:00:00,2014-08-25 00:00:00,2014-09-01 00:00:00,2014-09-08 00:00:00,2014-09-15 00:00:00,2014-09-22 00:00:00,2014-09-29 00:00:00,2014-10-06 00:00:00,2014-10-13 00:00:00,2014-10-20 00:00:00,2014-10-27 00:00:00,2014-11-03 00:00:00,2014-11-10 00:00:00,2014-11-17 00:00:00,2014-11-24 00:00:00,2014-12-01 00:00:00,2014-12-08 00:00:00,2014-12-15 00:00:00,2014-12-22 00:00:00,2014-12-29 00:00:00,yield
0,0,0.276,0.277,0.2795714285714286,0.28214285714285714,0.2847142857142857,0.2872857142857143,0.28985714285714287,0.2924285714285714,0.295,0.33,0.342,0.394,0.441,0.47,0.524,0.617,0.632,0.647,0.657,0.667,0.692,0.7,0.665,0.557,0.557,0.549,0.541,0.557,0.559,0.555,0.551,0.503,0.5,0.471,0.398,0.374,0.346,0.323,0.312,0.313,0.278,0.24,0.229,0.234,0.2335,0.233,0.2325,0.232,0.213,0.213,0.213,0.213,1.67
1,1,0.319,0.315,0.3117142857142857,0.30842857142857144,0.30514285714285716,0.3018571428571428,0.29857142857142854,0.29528571428571426,0.292,0.29,0.306,0.363,0.392,0.41,0.437,0.518,0.552,0.562,0.5685,0.575,0.616,0.638,0.661,0.6725000000000001,0.684,0.683,0.656,0.652,0.648,0.608,0.555,0.435,0.445,0.428,0.363,0.332,0.291,0.287,0.286,0.281,0.275,0.257,0.246,0.246,0.252,0.258,0.264,0.27,0.26,0.26,0.26,0.26,1.97
2,2,0.267,0.268,0.26871428571428574,0.26942857142857146,0.2701428571428572,0.27085714285714285,0.2715714285714286,0.2722857142857143,0.273,0.273,0.277,0.299,0.326,0.348,0.346,0.535,0.503,0.542,0.547,0.552,0.629,0.698,0.704,0.703,0.702,0.686,0.611,0.608,0.605,0.571,0.54,0.427,0.44,0.422,0.376,0.34,0.314,0.311,0.301,0.275,0.256,0.253,0.242,0.237,0.23675,0.2365,0.23625,0.236,0.233,0.233,0.233,0.233,3.44
3,3,0.238,0.335,0.33471428571428574,0.33442857142857146,0.3341428571428572,0.33385714285714285,0.3335714285714286,0.3332857142857143,0.333,0.334,0.36,0.41,0.436,0.441,0.533,0.621,0.658,0.698,0.719,0.74,0.754,0.78,0.783,0.789,0.791,0.774,0.733,0.741,0.749,0.704,0.65,0.643,0.639,0.62,0.558,0.53,0.504,0.515,0.434,0.424,0.395,0.352,0.327,0.317,0.309,0.30733333333333335,0.30566666666666664,0.304,0.302,0.302,0.302,0.302,1.98
4,4,0.278,0.302,0.3037142857142857,0.30542857142857144,0.30714285714285716,0.30885714285714283,0.31057142857142855,0.3122857142857143,0.314,0.329,0.348,0.418,0.443,0.45,0.526,0.645,0.659,0.685,0.712,0.739,0.781,0.794,0.794,0.801,0.807,0.799,0.693,0.709,0.725,0.692,0.649,0.641,0.621,0.599,0.552,0.529,0.48,0.478,0.446,0.425,0.365,0.33,0.317,0.314,0.274,0.2783333333333333,0.2826666666666667,0.287,0.281,0.281,0.281,0.281,1.98
5,17,0.37,0.362,0.36214285714285716,0.36228571428571427,0.36242857142857143,0.36257142857142854,0.3627142857142857,0.3628571428571428,0.363,0.361,0.378,0.41,0.437,0.465,0.516,0.704,0.694,0.684,0.6875,0.691,0.732,0.766,0.728,0.673,0.642,0.562,0.494,0.501,0.508,0.476,0.433,0.417,0.404,0.391,0.359,0.341,0.322,0.321,0.288,0.261,0.247,0.234,0.222,0.217,0.222,0.223,0.224,0.225,0.233,0.233,0.233,0.233,0.54
6,20,0.211,0.214,0.216,0.218,0.22,0.222,0.224,0.226,0.228,0.231,0.256,0.252,0.295,0.273,0.283,0.315,0.3295,0.344,0.39649999999999996,0.449,0.543,0.635,0.646,0.728,0.728,0.731,0.685,0.6895,0.694,0.646,0.557,0.404,0.377,0.371,0.33,0.306,0.275,0.264,0.248,0.233,0.241,0.219,0.212,0.211,0.21,0.208,0.206,0.204,0.177,0.177,0.177,0.177,1.95
7,25,0.251,0.249,0.25142857142857145,0.25385714285714284,0.2562857142857143,0.25871428571428573,0.2611428571428572,0.26357142857142857,0.266,0.274,0.266,0.261,0.313,0.317,0.303,0.358,0.3555,0.353,0.39749999999999996,0.442,0.586,0.687,0.716,0.68,0.668,0.691,0.672,0.641,0.653,0.651,0.59,0.502,0.493,0.466,0.433,0.38,0.329,0.317,0.29,0.277,0.27,0.247,0.227,0.215,0.215,0.215,0.215,0.215,0.215,0.215,0.215,0.215,
8,27,0.212,0.214,0.215,0.216,0.217,0.218,0.219,0.22,0.221,0.23,0.232,0.263,0.284,0.293,0.295,0.354,0.356,0.365,0.4095,0.454,0.603,0.694,0.721,0.7515000000000001,0.782,0.774,0.698,0.7015,0.705,0.665,0.579,0.439,0.426,0.411,0.354,0.301,0.25,0.237,0.23,0.224,0.215,0.24,0.237,0.211,0.21175,0.2125,0.21325,0.214,0.214,0.214,0.214,0.214,1.75
9,28,0.213,0.209,0.21014285714285713,0.21128571428571427,0.2124285714285714,0.21357142857142858,0.21471428571428572,0.21585714285714286,0.217,0.22,0.232,0.266,0.294,0.289,0.289,0.419,0.409,0.404,0.44,0.476,0.639,0.721,0.735,0.737,0.739,0.751,0.672,0.659,0.646,0.61,0.53,0.377,0.37,0.371,0.334,0.292,0.248,0.243,0.24,0.237,0.212,0.219,0.218,0.209,0.2095,0.21,0.2105,0.211,0.21,0.21,0.21,0.21,1.57
